webpage,package_title,description
https://CRAN.R-project.org/package=stringdist,"stringdist: Approximate String Matching, Fuzzy Text Search, and String
Distance Functions","Implements an approximate string matching version of R's native
    'match' function. Also offers fuzzy text search based on various string
     distance measures. Can calculate various string distances based on edits
    (Damerau-Levenshtein, Hamming, Levenshtein, optimal sting alignment), qgrams (q-
    gram, cosine, jaccard distance) or heuristic metrics (Jaro, Jaro-Winkler). An
    implementation of soundex is provided as well. Distances can be computed between
    character vectors while taking proper care of encoding or between integer
    vectors representing generic sequences. This package is built for speed and
    runs in parallel by using 'openMP'. An API for C or C++ is exposed as well.
    Reference: MPJ van der Loo (2014) <,>.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=stringi,stringi: Character String Processing Facilities,"A multitude of character string/text/natural language
    processing tools: pattern searching (e.g., with 'Java'-like regular
    expressions or the 'Unicode' collation algorithm), random string generation,
    case mapping, string transliteration, concatenation, sorting, padding,
    wrapping, Unicode normalisation, date-time formatting and parsing,
    and many more. They are fast, consistent, convenient, and -
    thanks to 'ICU' (International Components for Unicode) -
    portable across all locales and platforms.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=stringr,"stringr: Simple, Consistent Wrappers for Common String Operations","A consistent, simple and easy to use set of
    wrappers around the fantastic 'stringi' package. All function and
    argument names (and positions) are consistent, all functions deal with
    ""NA""'s and zero length vectors in the same way, and the output from
    one function is easy to feed into the input of another.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=sylly,sylly: Hyphenation and Syllable Counting for Text Analysis,"Provides the hyphenation algorithm used for 'TeX'/'LaTeX' and similar software, as proposed by Liang (1983, <,>). Mainly contains the
                    function hyphen() to be used for hyphenation/syllable counting of text objects. It was originally developed for and part of the 'koRpus' package, but later
                    released as a separate package so it's lighter to have this particular functionality available for other packages. Support for various languages needs be added
                    on-the-fly or by plugin packages (<,>); this package does not include any language specific data. Due to some restrictions
                    on CRAN, the full package sources are only available from the project homepage. To ask for help, report bugs, request features, or discuss the development of
                    the package, please subscribe to the koRpus-dev mailing list (<,>).,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=sylly.en,sylly.en: Language Support for 'sylly' Package: English,"Adds support for the English language to the 'sylly'
        package. Due to some restrictions on CRAN, the full package
        sources are only available from the project homepage. To ask
        for help, report bugs, suggest feature improvements, or discuss
        the global development of the package, please consider
        subscribing to the koRpus-dev mailing list
        (<,>).,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=syuzhet,syuzhet: Extracts Sentiment and Sentiment-Derived Plot Arcs from Text,"Extracts sentiment and sentiment-derived plot arcs
    from text using a variety of sentiment dictionaries conveniently
    packaged for consumption by R users.  Implemented dictionaries include
    ""syuzhet"" (default) developed in the Nebraska Literary Lab
    ""afinn"" developed by Finn Årup Nielsen, ""bing"" developed by Minqing Hu
    and Bing Liu, and ""nrc"" developed by Mohammad, Saif M. and Turney, Peter D.
    Applicable references are available in README.md and in the documentation
    for the ""get_sentiment"" function.  The package also provides a hack for
    implementing Stanford's coreNLP sentiment parser. The package provides
    several methods for plot arc normalization.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=tau,tau: Text Analysis Utilities,"Utilities for text analysis.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=text2vec,text2vec: Modern Text Mining Framework for R,"Fast and memory-friendly tools for text vectorization, topic
    modeling (LDA, LSA), word embeddings (GloVe), similarities. This package
    provides a source-agnostic streaming API, which allows researchers to perform
    analysis of collections of documents which are larger than available RAM. All
    core functions are parallelized to benefit from multicore machines.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=textcat,textcat: N-Gram Based Text Categorization,"Text categorization based on n-grams.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=textclean,textclean: Text Cleaning Tools,"Tools to clean and process text.  Tools are geared at checking for substrings that
          are not optimal for analysis and replacing or removing them (normalizing) with more
          analysis friendly substrings (see Sproat, Black, Chen, Kumar, Ostendorf, & Richards
          (2001) <,>) or extracting them into new variables. For
          example, emoticons are often used in text but not always easily handled by analysis
          algorithms.  The replace_emoticon() function replaces emoticons with word
          equivalents.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=textdata,textdata: Download and Load Various Text Datasets,"Provides a framework to download, parse, and store text datasets
    on the disk and load them when needed. Includes various sentiment lexicons
    and labeled text data sets for classification and analysis.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=textir,textir: Inverse Regression for Text Analysis,"Multinomial (inverse) regression inference for text documents and associated attributes.  For details see: Taddy (2013 JASA) Multinomial Inverse Regression for Text Analysis <,> and Taddy (2015, AoAS), Distributed Multinomial Regression, <,>. A minimalist partial least squares routine is also included.  Note that the topic modeling capability of earlier 'textir' is now a separate package, 'maptpx'.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=textplot,textplot: Text Plots,"Visualise complex relations in texts. This is done by providing functionalities for displaying 
    text co-occurrence networks, text correlation networks, dependency relationships as well as text clustering. 
    Feel free to join the effort of providing interesting text visualisations.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=textplot,textplot: Text Plots,"Visualise complex relations in texts. This is done by providing functionalities for displaying 
    text co-occurrence networks, text correlation networks, dependency relationships as well as text clustering. 
    Feel free to join the effort of providing interesting text visualisations.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=textrank,textrank: Summarize Text by Ranking Sentences and Finding Keywords,"The 'textrank' algorithm is an extension of the 'Pagerank' algorithm for text. The algorithm allows to summarize text by calculating how sentences are related to one another. This is done by looking at overlapping terminology used in sentences in order to set up links between sentences. The resulting sentence network is next plugged into the 'Pagerank' algorithm which identifies the most important sentences in your text and ranks them. 
    In a similar way 'textrank' can also be used to extract keywords. A word network is constructed by looking if words are following one another. On top of that network the 'Pagerank' algorithm is applied to extract relevant words after which relevant words which are following one another are combined to get keywords.  
    More information can be found in the paper from Mihalcea, Rada & Tarau, Paul (2004) <,>.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=textshape,textshape: Tools for Reshaping Text,"Tools that can be used to reshape and restructure text data.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=textstem,textstem: Tools for Stemming and Lemmatizing Text,"Tools that stem and lemmatize text.  Stemming is a process that removes
         endings such as affixes.  Lemmatization is the process of grouping inflected
         forms together as a single base form.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=tidyselect,tidyselect: Select from a Set of Strings,"A backend for the selecting functions of the 'tidyverse'.
    It makes it easy to implement select-like functions in your own
    packages in a way that is consistent with other 'tidyverse'
    interfaces for selection.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=tidytext,"tidytext: Text Mining using 'dplyr', 'ggplot2', and Other Tidy Tools","Using tidy data principles can make many text mining tasks easier, 
    more effective, and consistent with tools already in wide use. Much of the 
    infrastructure needed for text mining with tidy data frames already exists 
    in packages like 'dplyr', 'broom', 'tidyr', and 'ggplot2'. In this package, 
    we provide functions and supporting data sets to allow conversion of text 
    to and from tidy formats, and to switch seamlessly between tidy tools and 
    existing text mining packages.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=tm,tm: Text Mining Package,"A framework for text mining applications within R.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=tmap,tmap: Thematic Maps,"Thematic maps are geographical maps in which spatial data distributions are visualized. This package offers a flexible, layer-based, and easy to use approach to create thematic maps, such as choropleths and bubble maps.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=tmaptools,tmaptools: Thematic Map Tools,"Set of tools for reading and processing spatial data. The aim is to supply the workflow to create thematic maps. This package also facilitates 'tmap', the package for visualizing thematic maps.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=tokenizers,"tokenizers: Fast, Consistent Tokenization of Natural Language Text","Convert natural language text into tokens. Includes tokenizers for
    shingled n-grams, skip n-grams, words, word stems, sentences, paragraphs,
    characters, shingled characters, lines, tweets, Penn Treebank, regular
    expressions, as well as functions for counting characters, words, and sentences,
    and a function for splitting longer texts into separate documents, each with
    the same number of words.  The tokenizers have a consistent interface, and
    the package is built on the 'stringi' and 'Rcpp' packages for  fast
    yet correct tokenization in 'UTF-8'. ,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=topicdoc,topicdoc: Topic-Specific Diagnostics for LDA and CTM Topic Models,"Calculates topic-specific diagnostics (e.g. mean token length, exclusivity) for 
    Latent Dirichlet Allocation and Correlated Topic Models fit using the 'topicmodels' package.
    For more details, see Chapter 12 in Airoldi et al. (2014, ISBN:9781466504080), 
    pp 262-272 Mimno et al. (2011, ISBN:9781937284114), and Bischof et al. (2014) <,>.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=topicmodels,topicmodels: Topic Models,"Provides an interface to the C code for Latent Dirichlet
	     Allocation (LDA) models and Correlated Topics Models
	     (CTM) by David M. Blei and co-authors and the C++ code
	     for fitting LDA models using Gibbs sampling by Xuan-Hieu
	     Phan and co-authors.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=udpipe,"udpipe: Tokenization, Parts of Speech Tagging, Lemmatization and
Dependency Parsing with the 'UDPipe' 'NLP' Toolkit","This natural language processing toolkit provides language-agnostic
    'tokenization', 'parts of speech tagging', 'lemmatization' and 'dependency
    parsing' of raw text. Next to text parsing, the package also allows you to train
    annotation models based on data of 'treebanks' in 'CoNLL-U' format as provided
    at <,>. The techniques are explained
    in detail in the paper: 'Tokenizing, POS Tagging, Lemmatizing and Parsing UD 2.0
    with UDPipe', available at <,>. 
    The toolkit also contains functionalities for commonly used data manipulations on texts 
    which are enriched with the output of the parser. Namely functionalities and algorithms 
    for collocations, token co-occurrence, document term matrix handling, 
    term frequency inverse document frequency calculations,
    information retrieval metrics (Okapi BM25), handling of multi-word expressions,
    keyword detection (Rapid Automatic Keyword Extraction, noun phrase extraction, syntactical patterns) 
    sentiment scoring and semantic similarity analysis.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=udpipe,"udpipe: Tokenization, Parts of Speech Tagging, Lemmatization and
Dependency Parsing with the 'UDPipe' 'NLP' Toolkit","This natural language processing toolkit provides language-agnostic
    'tokenization', 'parts of speech tagging', 'lemmatization' and 'dependency
    parsing' of raw text. Next to text parsing, the package also allows you to train
    annotation models based on data of 'treebanks' in 'CoNLL-U' format as provided
    at <,>. The techniques are explained
    in detail in the paper: 'Tokenizing, POS Tagging, Lemmatizing and Parsing UD 2.0
    with UDPipe', available at <,>. 
    The toolkit also contains functionalities for commonly used data manipulations on texts 
    which are enriched with the output of the parser. Namely functionalities and algorithms 
    for collocations, token co-occurrence, document term matrix handling, 
    term frequency inverse document frequency calculations,
    information retrieval metrics (Okapi BM25), handling of multi-word expressions,
    keyword detection (Rapid Automatic Keyword Extraction, noun phrase extraction, syntactical patterns) 
    sentiment scoring and semantic similarity analysis.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=word2vec,word2vec: Distributed Representations of Words,"Learn vector representations of words by continuous bag of words and skip-gram implementations of the 'word2vec' algorithm. 
    The techniques are detailed in the paper ""Distributed Representations of Words and Phrases and their Compositionality"" by Mikolov et al. (2013), available at <,>.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=wordcloud,wordcloud: Word Clouds,"Functionality to create pretty word clouds, visualize differences and similarity between documents, and avoid over-plotting in scatter plots with text.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=wordcloud2,wordcloud2: Create Word Cloud by 'htmlwidget',"A fast visualization tool for creating wordcloud
    by using 'wordcloud2.js'. 'wordcloud2.js' is a JavaScript library to create 
    wordle presentation on 2D canvas or HTML <,>.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=readtext,readtext: Import and Handling for Plain and Formatted Text Files,"Functions for importing and handling text files and formatted text
    files with additional meta-data, such including '.csv', '.tab', '.json', '.xml',
    '.html', '.pdf', '.doc', '.docx', '.rtf', '.xls', '.xlsx', and others.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=antiword,antiword: Extract Text from Microsoft Word Documents,"Wraps the 'AntiWord' utility to extract text from Microsoft
    Word documents. The utility only supports the old 'doc' format, not the 
    new xml based 'docx' format. Use the 'xml2' package to read the latter.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=readtext,readtext: Import and Handling for Plain and Formatted Text Files,"Functions for importing and handling text files and formatted text
    files with additional meta-data, such including '.csv', '.tab', '.json', '.xml',
    '.html', '.pdf', '.doc', '.docx', '.rtf', '.xls', '.xlsx', and others.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=pdftools,"pdftools: Text Extraction, Rendering and Converting of PDF Documents","Utilities based on 'libpoppler' for extracting text, fonts, attachments and 
    metadata from a PDF file. Also supports high quality rendering of PDF documents into
    PNG, JPEG, TIFF format, or into raw bitmap vectors for further processing in R.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=spelling,spelling: Tools for Spell Checking in R,"Spell checking common document formats including latex, markdown, manual pages,
    and description files. Includes utilities to automate checking of documentation and 
    vignettes as a unit test during 'R CMD check'. Both British and American English are 
    supported out of the box and other languages can be added. In addition, packages may
    define a 'wordlist' to allow custom terminology without having to abuse punctuation.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=cheatR,cheatR: Catch Cheaters,"A set of functions to compare texts for similarity, and plot a graph of similarities among the compared texts. These functions were originally developed for detection of overlap in course hand-in.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=ngram,ngram: Fast n-Gram 'Tokenization',"An n-gram is a sequence of n ""words"" taken, in order, from a
    body of text.  This is a collection of utilities for creating,
    displaying, summarizing, and ""babbling"" n-grams.  The
    'tokenization' and ""babbling"" are handled by very efficient C
    code, which can even be built as its own standalone library.
    The babbler is a simple Markov chain.  The package also offers
    a vignette with complete example 'workflows' and information about
    the utilities offered in the package.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=textreadr,textreadr: Read Text Documents into R,"A small collection of convenience tools for reading text documents into R.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=textfeatures,textfeatures: Extracts Features from Text,"A tool for extracting some generic features (e.g., number of
    words, line breaks, characters per word, URLs, lower case, upper case,
    commas, periods, exclamation points, etc.) from strings of text.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=textrecipes,textrecipes: Extra 'Recipes' for Text Processing,"Converting text to numerical features requires
    specifically created procedures, which are implemented as steps
    according to the 'recipes' package. These steps allows for
    tokenization, filtering, counting (tf and tfidf) and feature hashing.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=textmineR,textmineR: Functions for Text Mining and Topic Modeling,"An aid for text mining in R, with a syntax that
    should be familiar to experienced R users. Provides a wrapper for several 
    topic models that take similarly-formatted input and give similarly-formatted
    output. Has additional functionality for analyzing and diagnostics for
    topic models.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=LDAShiny,LDAShiny: User-Friendly Interface for Review of Scientific Literature,"Contains the development of a tool that provides a
    web-based graphical user interface (GUI) to perform a review of the
    scientific literature under the Bayesian approach of Latent Dirichlet
    Allocation (LDA)and machine learning algorithms. The application
    methodology is framed by the well known procedures in topic modelling
    on how to clean and process data. Contains methods described by 
    Blei, David M., Andrew Y. Ng, and Michael I. Jordan (2003) 
    <,> 
    Allocation""; Thomas L. Griffiths and Mark Steyvers (2004) 
    <,> ; Xiong Hui, et al (2019) 
    <,>.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=tidylda,tidylda: Latent Dirichlet Allocation Using 'tidyverse' Conventions,"Implements an algorithm for Latent Dirichlet
    Allocation (LDA), Blei et at. (2003) <,>,
    using style conventions from the 'tidyverse',
    Wickham et al. (2019)<,>,
    and 'tidymodels', Kuhn et al.<,>.
    Fitting is done via collapsed Gibbs sampling.
    Also implements several novel features for LDA such as guided models and
    transfer learning based on ongoing and, as yet, unpublished research.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=wordsalad,wordsalad: Provide Tools to Extract and Analyze Word Vectors,"Provides access to various word embedding methods (GloVe, 
    fasttext and word2vec) to extract word vectors using a unified framework to
    increase reproducibility and correctness.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=fastTextR,fastTextR: An Interface to the 'fastText' Library,"An interface to the 'fastText' library
	<,>. The package
	can be used for text classification and to learn word vectors.
	An example how to use 'fastTextR' can be found in the 'README' file.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=seededlda,seededlda: Seeded-LDA for Topic Modeling,"Implements the seeded-LDA model (Lu, Ott, Cardie & Tsou 2010) <,> using the quanteda package and the GibbsLDA++ library for semisupervised topic modeling. 
    Seeded-LDA allows users to pre-define topics with keywords to perform theory-driven analysis of textual data in social sciences and humanities (Watanabe & Zhou 2020) <,>.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=stm,stm: Estimation of the Structural Topic Model,"The Structural Topic Model (STM) allows researchers 
  to estimate topic models with document-level covariates. 
  The package also includes tools for model selection, visualization,
  and estimation of topic-covariate regressions. Methods developed in
  Roberts et. al. (2014) <,> and 
  Roberts et. al. (2016) <,>. Vignette
  is Roberts et. al. (2019) <,>.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=quanteda.textmodels,quanteda.textmodels: Scaling Models and Classifiers for Textual Data,"Scaling models and classifiers for sparse matrix objects representing 
    textual data in the form of a document-feature matrix.  Includes original 
    implementations of 'Laver', 'Benoit', and Garry's (2003) <,>,
    'Wordscores' model, Perry and 'Benoit's' (2017) <,> class affinity scaling model, 
    and 'Slapin' and 'Proksch's' (2008) <,> 'wordfish'
    model, as well as methods for correspondence analysis, latent semantic analysis,
    and fast Naive Bayes and linear 'SVMs' specially designed for sparse textual data.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=lsa,lsa: Latent Semantic Analysis,"The basic idea of latent semantic analysis (LSA) is, 
  that text do have a higher order (=latent semantic) structure which, 
  however, is obscured by word usage (e.g. through the use of synonyms 
  or polysemy). By using conceptual indices that are derived statistically 
  via a truncated singular value decomposition (a two-mode factor analysis) 
  over a given document-term matrix, this variability problem can be overcome. ,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=LSAfun,LSAfun: Applied Latent Semantic Analysis (LSA) Functions,"Provides functions that allow for convenient working
    with latent semantic analysis (LSA) and other vector space models 
	of semantics. For actually building a vector semantic space, use 
	the package 'lsa' or other specialized software. Downloadable 
	semantic spaces can be found here: <,>
	A description of the LSA algorithm can be found in Landauer and Dumais (1997) 
	<,> .,Please use the canonical form
,
to link to this page."
